tail_number,lat,lon,alt,speed,fuel,timestamp
AAX001,34.058346,-118.360971,442.0,45.084,0.932,2025-01-01T10:45:33
AAX001,34.060071,-118.360238,446.8,45.084,0.931,2025-01-01T10:45:43
AAX001,34.061796,-118.359506,451.5,45.084,0.93,2025-01-01T10:45:53
AAX001,34.06352,-118.358774,456.2,45.084,0.929,2025-01-01T10:46:03
AAX001,34.065245,-118.358041,461.0,45.084,0.928,2025-01-01T10:46:13
AAX001,34.06697,-118.357309,465.7,45.084,0.927,2025-01-01T10:46:23
AAX001,34.068694,-118.356576,470.4,45.084,0.926,2025-01-01T10:46:33
AAX001,34.070419,-118.355844,475.2,45.084,0.925,2025-01-01T10:46:43
AAX001,34.072144,-118.355112,479.9,45.084,0.924,2025-01-01T10:46:53
AAX001,34.073868,-118.354379,484.6,45.084,0.923,2025-01-01T10:47:03
AAX001,34.075593,-118.353647,489.4,45.084,0.922,2025-01-01T10:47:13
AAX001,34.077318,-118.352914,494.1,45.084,0.921,2025-01-01T10:47:23
AAX001,34.079043,-118.352182,498.8,45.084,0.92,2025-01-01T10:47:33
AAX001,34.080767,-118.35145,503.6,45.084,0.919,2025-01-01T10:47:43
AAX001,34.082492,-118.350717,508.3,45.084,0.918,2025-01-01T10:47:53
AAX001,34.084217,-118.349985,513.0,45.084,0.917,2025-01-01T10:48:03
AAX001,34.085941,-118.349252,517.7,45.084,0.916,2025-01-01T10:48:13
AAX001,34.087666,-118.34852,522.5,45.084,0.915,2025-01-01T10:48:23
AAX001,34.089391,-118.347788,527.2,45.084,0.914,2025-01-01T10:48:33
AAX001,34.091115,-118.347055,531.9,45.084,0.913,2025-01-01T10:48:43
AAX001,34.09284,-118.346323,536.7,45.084,0.912,2025-01-01T10:48:53
AAX001,34.094565,-118.34559,541.4,45.084,0.911,2025-01-01T10:49:03
AAX001,34.09629,-118.344858,546.1,45.084,0.91,2025-01-01T10:49:13
AAX001,34.098014,-118.344125,550.9,45.084,0.909,2025-01-01T10:49:23
AAX001,34.099739,-118.343393,555.6,45.084,0.908,2025-01-01T10:49:33
AAX001,34.101464,-118.342661,560.3,45.084,0.907,2025-01-01T10:49:43
AAX001,34.103188,-118.341928,565.1,45.084,0.906,2025-01-01T10:49:53
AAX001,34.104913,-118.341196,569.8,45.084,0.905,2025-01-01T10:50:03
AAX001,34.106638,-118.340463,574.5,45.084,0.904,2025-01-01T10:50:13
AAX001,34.108362,-118.339731,579.3,45.084,0.903,2025-01-01T10:50:23
AAX001,34.110087,-118.338999,584.0,45.084,0.902,2025-01-01T10:50:33
AAX001,34.111812,-118.338266,588.7,45.084,0.901,2025-01-01T10:50:43
AAX001,34.113537,-118.337534,593.5,45.084,0.9,2025-01-01T10:50:53
AAX001,34.115261,-118.336801,598.2,45.084,0.899,2025-01-01T10:51:03
AAX001,34.116986,-118.336069,602.9,45.084,0.898,2025-01-01T10:51:13
AAX001,34.118711,-118.335337,607.7,45.084,0.897,2025-01-01T10:51:23
AAX001,34.120435,-118.334604,612.4,45.084,0.896,2025-01-01T10:51:33
AAX001,34.12216,-118.333872,617.1,45.084,0.895,2025-01-01T10:51:43
AAX001,34.123885,-118.333139,621.8,45.084,0.894,2025-01-01T10:51:53
AAX001,34.12561,-118.332407,626.6,45.084,0.893,2025-01-01T10:52:03
AAX001,34.127334,-118.331675,631.3,45.084,0.892,2025-01-01T10:52:13
AAX001,34.129059,-118.330942,636.0,45.084,0.891,2025-01-01T10:52:23
AAX001,34.130784,-118.33021,640.8,45.084,0.89,2025-01-01T10:52:33
AAX001,34.132508,-118.329477,645.5,45.084,0.889,2025-01-01T10:52:43
AAX001,34.134233,-118.328745,650.2,45.084,0.888,2025-01-01T10:52:53
AAX001,34.135958,-118.328013,655.0,45.084,0.887,2025-01-01T10:53:03
AAX001,34.137682,-118.32728,659.7,45.084,0.886,2025-01-01T10:53:13
AAX001,34.139407,-118.326548,664.4,45.084,0.885,2025-01-01T10:53:23
AAX001,34.141132,-118.325815,669.2,45.084,0.884,2025-01-01T10:53:33
AAX001,34.142857,-118.325083,673.9,45.084,0.883,2025-01-01T10:53:43
AAX001,34.144581,-118.324351,678.6,45.084,0.882,2025-01-01T10:53:53
AAX001,34.146306,-118.323618,683.4,45.084,0.881,2025-01-01T10:54:03
AAX001,34.148031,-118.322886,688.1,45.084,0.88,2025-01-01T10:54:13
AAX001,34.149755,-118.322153,692.8,45.084,0.879,2025-01-01T10:54:23
AAX001,34.15148,-118.321421,697.6,45.084,0.878,2025-01-01T10:54:33
AAX001,34.153205,-118.320688,702.3,45.084,0.877,2025-01-01T10:54:43
AAX001,34.154929,-118.319956,707.0,45.084,0.876,2025-01-01T10:54:53
AAX001,34.156654,-118.319224,711.8,45.084,0.875,2025-01-01T10:55:03
AAX001,34.158379,-118.318491,716.5,45.084,0.874,2025-01-01T10:55:13
AAX001,34.160104,-118.317759,721.2,45.084,0.873,2025-01-01T10:55:23
AAX001,34.161828,-118.317026,725.9,45.084,0.872,2025-01-01T10:55:33
AAX001,34.163553,-118.316294,730.7,45.084,0.871,2025-01-01T10:55:43
AAX001,34.165278,-118.315562,735.4,45.084,0.87,2025-01-01T10:55:53
AAX001,34.167002,-118.314829,740.1,45.084,0.869,2025-01-01T10:56:03
AAX001,34.168727,-118.314097,744.9,45.084,0.868,2025-01-01T10:56:13
AAX001,34.170452,-118.313364,749.6,45.084,0.867,2025-01-01T10:56:23
AAX001,34.172176,-118.312632,754.3,45.084,0.866,2025-01-01T10:56:33
AAX001,34.173901,-118.3119,759.1,45.084,0.865,2025-01-01T10:56:43
AAX001,34.175626,-118.311167,763.8,45.084,0.864,2025-01-01T10:56:53
AAX001,34.177351,-118.310435,768.5,45.084,0.863,2025-01-01T10:57:03
AAX001,34.179075,-118.309702,773.3,45.084,0.862,2025-01-01T10:57:13
AAX001,34.1808,-118.30897,778.0,45.084,0.861,2025-01-01T10:57:23
AAX006,33.942791,-118.410042,125.0,49.585,0.999,2025-01-01T11:18:42
AAX006,33.944695,-118.409233,130.2,49.585,0.998,2025-01-01T11:18:52
AAX006,33.946599,-118.408425,135.4,49.585,0.997,2025-01-01T11:19:02
AAX006,33.948503,-118.407616,140.7,49.585,0.996,2025-01-01T11:19:12
AAX006,33.950407,-118.406808,145.9,49.585,0.995,2025-01-01T11:19:22
AAX006,33.952311,-118.405999,151.1,49.585,0.994,2025-01-01T11:19:32
AAX006,33.954215,-118.405191,156.3,49.585,0.993,2025-01-01T11:19:42
AAX006,33.95612,-118.404382,161.6,49.585,0.992,2025-01-01T11:19:52
AAX006,33.958024,-118.403573,166.8,49.585,0.991,2025-01-01T11:20:02
AAX006,33.959928,-118.402765,172.0,49.585,0.99,2025-01-01T11:20:12
AAX006,33.961832,-118.401956,177.2,49.585,0.989,2025-01-01T11:20:22
AAX006,33.963736,-118.401148,182.5,49.585,0.988,2025-01-01T11:20:32
AAX006,33.96564,-118.400339,187.7,49.585,0.987,2025-01-01T11:20:42
AAX006,33.967544,-118.399531,192.9,49.585,0.986,2025-01-01T11:20:52
AAX006,33.969448,-118.398722,198.1,49.585,0.985,2025-01-01T11:21:02
AAX006,33.971352,-118.397913,203.4,49.585,0.984,2025-01-01T11:21:12
AAX006,33.973256,-118.397105,208.6,49.585,0.983,2025-01-01T11:21:22
AAX006,33.97516,-118.396296,213.8,49.585,0.982,2025-01-01T11:21:32
AAX006,33.977064,-118.395488,219.0,49.585,0.981,2025-01-01T11:21:42
AAX006,33.978968,-118.394679,224.3,49.585,0.98,2025-01-01T11:21:52
AAX006,33.980872,-118.39387,229.5,49.585,0.979,2025-01-01T11:22:02
AAX006,33.982777,-118.393062,234.7,49.585,0.978,2025-01-01T11:22:12
AAX006,33.984681,-118.392253,239.9,49.585,0.977,2025-01-01T11:22:22
AAX006,33.986585,-118.391445,245.2,49.585,0.976,2025-01-01T11:22:32
AAX006,33.988489,-118.390636,250.4,49.585,0.975,2025-01-01T11:22:42
AAX006,33.990393,-118.389828,255.6,49.585,0.974,2025-01-01T11:22:52
AAX006,33.992297,-118.389019,260.8,49.585,0.973,2025-01-01T11:23:02
AAX006,33.994201,-118.38821,266.0,49.585,0.972,2025-01-01T11:23:12
AAX006,33.996105,-118.387402,271.3,49.585,0.971,2025-01-01T11:23:22
AAX006,33.998009,-118.386593,276.5,49.585,0.97,2025-01-01T11:23:32
AAX006,33.999913,-118.385785,281.7,49.585,0.969,2025-01-01T11:23:42
AAX006,34.001817,-118.384976,286.9,49.585,0.968,2025-01-01T11:23:52
AAX006,34.003721,-118.384168,292.2,49.585,0.967,2025-01-01T11:24:02
AAX006,34.005625,-118.383359,297.4,49.585,0.966,2025-01-01T11:24:12
AAX006,34.007529,-118.38255,302.6,49.585,0.965,2025-01-01T11:24:22
AAX006,34.009434,-118.381742,307.8,49.585,0.964,2025-01-01T11:24:32
AAX006,34.011338,-118.380933,313.1,49.585,0.963,2025-01-01T11:24:42
AAX006,34.013242,-118.380125,318.3,49.585,0.962,2025-01-01T11:24:52
AAX006,34.015146,-118.379316,323.5,49.585,0.961,2025-01-01T11:25:02
AAX006,34.01705,-118.378508,328.7,49.585,0.96,2025-01-01T11:25:12
AAX006,34.018954,-118.377699,334.0,49.585,0.959,2025-01-01T11:25:22
AAX006,34.020858,-118.37689,339.2,49.585,0.958,2025-01-01T11:25:32
AAX006,34.022762,-118.376082,344.4,49.585,0.957,2025-01-01T11:25:42
AAX006,34.024666,-118.375273,349.6,49.585,0.956,2025-01-01T11:25:52
AAX006,34.02657,-118.374465,354.9,49.585,0.955,2025-01-01T11:26:02
AAX006,34.028474,-118.373656,360.1,49.585,0.954,2025-01-01T11:26:12
AAX006,34.030378,-118.372848,365.3,49.585,0.953,2025-01-01T11:26:22
AAX006,34.032282,-118.372039,370.5,49.585,0.952,2025-01-01T11:26:32
AAX006,34.034186,-118.37123,375.8,49.585,0.951,2025-01-01T11:26:42
AAX006,34.036091,-118.370422,381.0,49.585,0.95,2025-01-01T11:26:52
AAX006,34.037995,-118.369613,386.2,49.585,0.949,2025-01-01T11:27:02
AAX006,34.039899,-118.368805,391.4,49.585,0.948,2025-01-01T11:27:12
AAX006,34.041803,-118.367996,396.6,49.585,0.947,2025-01-01T11:27:22
AAX006,34.043707,-118.367187,401.9,49.585,0.946,2025-01-01T11:27:32
AAX006,34.045611,-118.366379,407.1,49.585,0.945,2025-01-01T11:27:42
AAX006,34.047515,-118.36557,412.3,49.585,0.944,2025-01-01T11:27:52
AAX006,34.049419,-118.364762,417.5,49.585,0.943,2025-01-01T11:28:02
AAX006,34.051323,-118.363953,422.8,49.585,0.942,2025-01-01T11:28:12
AAX006,34.053227,-118.363145,428.0,49.585,0.941,2025-01-01T11:28:22
AAX006,34.055131,-118.362336,433.2,49.585,0.94,2025-01-01T11:28:32
AAX006,34.057035,-118.361527,438.4,49.585,0.939,2025-01-01T11:28:42
AAX006,34.058939,-118.360719,443.7,49.585,0.938,2025-01-01T11:28:52
AAX006,34.060843,-118.35991,448.9,49.585,0.937,2025-01-01T11:29:02
AAX006,34.062748,-118.359102,454.1,49.585,0.936,2025-01-01T11:29:12
AAX006,34.064652,-118.358293,459.3,49.585,0.935,2025-01-01T11:29:22
AAX006,34.066556,-118.357485,464.6,49.585,0.934,2025-01-01T11:29:32
AAX006,34.06846,-118.356676,469.8,49.585,0.933,2025-01-01T11:29:42
AAX006,34.070364,-118.355867,475.0,49.585,0.932,2025-01-01T11:29:52
AAX006,34.072268,-118.355059,480.2,49.585,0.931,2025-01-01T11:30:02
AAX006,34.074172,-118.35425,485.5,49.585,0.93,2025-01-01T11:30:12
AAX006,34.076076,-118.353442,490.7,49.585,0.929,2025-01-01T11:30:22
AAX006,34.07798,-118.352633,495.9,49.585,0.928,2025-01-01T11:30:32
AAX006,34.079884,-118.351825,501.1,49.585,0.927,2025-01-01T11:30:42
AAX006,34.081788,-118.351016,506.4,49.585,0.926,2025-01-01T11:30:52
AAX006,34.083692,-118.350207,511.6,49.585,0.925,2025-01-01T11:31:02
AAX006,34.085596,-118.349399,516.8,49.585,0.924,2025-01-01T11:31:12
AAX006,34.0875,-118.34859,522.0,49.585,0.923,2025-01-01T11:31:22
AAX006,34.089405,-118.347782,527.2,49.585,0.922,2025-01-01T11:31:32
AAX006,34.091309,-118.346973,532.5,49.585,0.921,2025-01-01T11:31:42
AAX006,34.093213,-118.346164,537.7,49.585,0.92,2025-01-01T11:31:52
AAX006,34.095117,-118.345356,542.9,49.585,0.919,2025-01-01T11:32:02
AAX006,34.097021,-118.344547,548.1,49.585,0.918,2025-01-01T11:32:12
AAX006,34.098925,-118.343739,553.4,49.585,0.917,2025-01-01T11:32:22
AAX006,34.100829,-118.34293,558.6,49.585,0.916,2025-01-01T11:32:32
AAX006,34.102733,-118.342122,563.8,49.585,0.915,2025-01-01T11:32:42
AAX006,34.104637,-118.341313,569.0,49.585,0.914,2025-01-01T11:32:52
AAX006,34.106541,-118.340504,574.3,49.585,0.913,2025-01-01T11:33:02
AAX006,34.108445,-118.339696,579.5,49.585,0.912,2025-01-01T11:33:12
AAX006,34.110349,-118.338887,584.7,49.585,0.911,2025-01-01T11:33:22
AAX006,34.112253,-118.338079,589.9,49.585,0.91,2025-01-01T11:33:32
AAX006,34.114157,-118.33727,595.2,49.585,0.909,2025-01-01T11:33:42
AAX006,34.116062,-118.336462,600.4,49.585,0.908,2025-01-01T11:33:52
AAX006,34.117966,-118.335653,605.6,49.585,0.907,2025-01-01T11:34:02
AAX006,34.11987,-118.334844,610.8,49.585,0.906,2025-01-01T11:34:12
AAX006,34.121774,-118.334036,616.1,49.585,0.905,2025-01-01T11:34:22
AAX006,34.123678,-118.333227,621.3,49.585,0.904,2025-01-01T11:34:32
AAX006,34.125582,-118.332419,626.5,49.585,0.903,2025-01-01T11:34:42
AAX006,34.127486,-118.33161,631.7,49.585,0.902,2025-01-01T11:34:52
AAX006,34.12939,-118.330802,637.0,49.585,0.901,2025-01-01T11:35:02
AAX006,34.131294,-118.329993,642.2,49.585,0.9,2025-01-01T11:35:12
AAX006,34.133198,-118.329184,647.4,49.585,0.899,2025-01-01T11:35:22
AAX006,34.135102,-118.328376,652.6,49.585,0.898,2025-01-01T11:35:32
AAX006,34.137006,-118.327567,657.8,49.585,0.897,2025-01-01T11:35:42
AAX006,34.13891,-118.326759,663.1,49.585,0.896,2025-01-01T11:35:52
AAX006,34.140814,-118.32595,668.3,49.585,0.895,2025-01-01T11:36:02
AAX006,34.142719,-118.325142,673.5,49.585,0.894,2025-01-01T11:36:12
AAX006,34.144623,-118.324333,678.7,49.585,0.893,2025-01-01T11:36:22
AAX006,34.146527,-118.323524,684.0,49.585,0.892,2025-01-01T11:36:32
AAX006,34.148431,-118.322716,689.2,49.585,0.891,2025-01-01T11:36:42
AAX006,34.150335,-118.321907,694.4,49.585,0.89,2025-01-01T11:36:52
AAX006,34.152239,-118.321099,699.6,49.585,0.889,2025-01-01T11:37:02
AAX006,34.154143,-118.32029,704.9,49.585,0.888,2025-01-01T11:37:12
AAX006,34.156047,-118.319481,710.1,49.585,0.887,2025-01-01T11:37:22
AAX006,34.157951,-118.318673,715.3,49.585,0.886,2025-01-01T11:37:32
AAX006,34.159855,-118.317864,720.5,49.585,0.885,2025-01-01T11:37:42
AAX006,34.161759,-118.317056,725.8,49.585,0.884,2025-01-01T11:37:52
AAX006,34.163663,-118.316247,731.0,49.585,0.883,2025-01-01T11:38:02
AAX006,34.165567,-118.315439,736.2,49.585,0.882,2025-01-01T11:38:12
AAX006,34.167471,-118.31463,741.4,49.585,0.881,2025-01-01T11:38:22
AAX006,34.169376,-118.313821,746.7,49.585,0.88,2025-01-01T11:38:32
AAX006,34.17128,-118.313013,751.9,49.585,0.879,2025-01-01T11:38:42
AAX006,34.173184,-118.312204,757.1,49.585,0.878,2025-01-01T11:38:52
AAX006,34.175088,-118.311396,762.3,49.585,0.877,2025-01-01T11:39:02
AAX006,34.176992,-118.310587,767.6,49.585,0.876,2025-01-01T11:39:12
AAX006,34.178896,-118.309779,772.8,49.585,0.875,2025-01-01T11:39:22
AAX006,34.1808,-118.30897,778.0,49.585,0.874,2025-01-01T11:39:32
AAY001,33.942791,-118.410042,125.0,142.955,0.999,2025-01-01T11:36:14
AAY001,33.948458,-118.407636,140.5,142.955,0.998,2025-01-01T11:36:24
AAY001,33.954125,-118.405229,156.1,142.955,0.997,2025-01-01T11:36:34
AAY001,33.959792,-118.402823,171.6,142.955,0.996,2025-01-01T11:36:44
AAY001,33.965459,-118.400416,187.2,142.955,0.995,2025-01-01T11:36:54
AAY001,33.971125,-118.39801,202.7,142.955,0.994,2025-01-01T11:37:04
AAY001,33.976792,-118.395603,218.3,142.955,0.993,2025-01-01T11:37:14
AAY001,33.982459,-118.393197,233.8,142.955,0.992,2025-01-01T11:37:24
AAY001,33.988126,-118.39079,249.4,142.955,0.991,2025-01-01T11:37:34
AAY001,33.993793,-118.388384,264.9,142.955,0.99,2025-01-01T11:37:44
AAY001,33.99946,-118.385977,280.5,142.955,0.989,2025-01-01T11:37:54
AAY001,34.005127,-118.383571,296.0,142.955,0.988,2025-01-01T11:38:04
AAY001,34.010794,-118.381164,311.6,142.955,0.987,2025-01-01T11:38:14
AAY001,34.01646,-118.378758,327.1,142.955,0.986,2025-01-01T11:38:24
AAY001,34.022127,-118.376351,342.7,142.955,0.985,2025-01-01T11:38:34
AAY001,34.027794,-118.373945,358.2,142.955,0.984,2025-01-01T11:38:44
AAY001,34.033461,-118.371538,373.8,142.955,0.983,2025-01-01T11:38:54
AAY001,34.039128,-118.369132,389.3,142.955,0.982,2025-01-01T11:39:04
AAY001,34.044795,-118.366725,404.9,142.955,0.981,2025-01-01T11:39:14
AAY001,34.050462,-118.364319,420.4,142.955,0.98,2025-01-01T11:39:24
AAY001,34.056129,-118.361912,436.0,142.955,0.979,2025-01-01T11:39:34
AAY001,34.061795,-118.359506,451.5,142.955,0.978,2025-01-01T11:39:44
AAY001,34.067462,-118.3571,467.0,142.955,0.977,2025-01-01T11:39:54
AAY001,34.073129,-118.354693,482.6,142.955,0.976,2025-01-01T11:40:04
AAY001,34.078796,-118.352287,498.1,142.955,0.975,2025-01-01T11:40:14
AAY001,34.084463,-118.34988,513.7,142.955,0.974,2025-01-01T11:40:24
AAY001,34.09013,-118.347474,529.2,142.955,0.973,2025-01-01T11:40:34
AAY001,34.095797,-118.345067,544.8,142.955,0.972,2025-01-01T11:40:44
AAY001,34.101464,-118.342661,560.3,142.955,0.971,2025-01-01T11:40:54
AAY001,34.107131,-118.340254,575.9,142.955,0.97,2025-01-01T11:41:04
AAY001,34.112797,-118.337848,591.4,142.955,0.969,2025-01-01T11:41:14
AAY001,34.118464,-118.335441,607.0,142.955,0.968,2025-01-01T11:41:24
AAY001,34.124131,-118.333035,622.5,142.955,0.967,2025-01-01T11:41:34
AAY001,34.129798,-118.330628,638.1,142.955,0.966,2025-01-01T11:41:44
AAY001,34.135465,-118.328222,653.6,142.955,0.965,2025-01-01T11:41:54
AAY001,34.141132,-118.325815,669.2,142.955,0.964,2025-01-01T11:42:04
AAY001,34.146799,-118.323409,684.7,142.955,0.963,2025-01-01T11:42:14
AAY001,34.152466,-118.321002,700.3,142.955,0.962,2025-01-01T11:42:24
AAY001,34.158132,-118.318596,715.8,142.955,0.961,2025-01-01T11:42:34
AAY001,34.163799,-118.316189,731.4,142.955,0.96,2025-01-01T11:42:44
AAY001,34.169466,-118.313783,746.9,142.955,0.959,2025-01-01T11:42:54
AAY001,34.175133,-118.311376,762.5,142.955,0.958,2025-01-01T11:43:04
AAY001,34.1808,-118.30897,778.0,142.955,0.957,2025-01-01T11:43:14
AAY006,33.942791,-118.410042,125.0,135.866,0.999,2025-01-01T10:00:21
AAY006,33.94808,-118.407796,139.5,135.866,0.998,2025-01-01T10:00:31
AAY006,33.953369,-118.40555,154.0,135.866,0.997,2025-01-01T10:00:41
AAY006,33.958658,-118.403304,168.5,135.866,0.996,2025-01-01T10:00:51
AAY006,33.963947,-118.401058,183.0,135.866,0.995,2025-01-01T10:01:01
AAY006,33.969236,-118.398812,197.6,135.866,0.994,2025-01-01T10:01:11
AAY006,33.974526,-118.396566,212.1,135.866,0.993,2025-01-01T10:01:21
AAY006,33.979815,-118.39432,226.6,135.866,0.992,2025-01-01T10:01:31
AAY006,33.985104,-118.392074,241.1,135.866,0.991,2025-01-01T10:01:41
AAY006,33.990393,-118.389828,255.6,135.866,0.99,2025-01-01T10:01:51
AAY006,33.995682,-118.387582,270.1,135.866,0.989,2025-01-01T10:02:01
AAY006,34.000971,-118.385336,284.6,135.866,0.988,2025-01-01T10:02:11
AAY006,34.00626,-118.383089,299.1,135.866,0.987,2025-01-01T10:02:21
AAY006,34.011549,-118.380843,313.6,135.866,0.986,2025-01-01T10:02:31
AAY006,34.016838,-118.378597,328.2,135.866,0.985,2025-01-01T10:02:41
AAY006,34.022127,-118.376351,342.7,135.866,0.984,2025-01-01T10:02:51
AAY006,34.027416,-118.374105,357.2,135.866,0.983,2025-01-01T10:03:01
AAY006,34.032706,-118.371859,371.7,135.866,0.982,2025-01-01T10:03:11
AAY006,34.037995,-118.369613,386.2,135.866,0.981,2025-01-01T10:03:21
AAY006,34.043284,-118.367367,400.7,135.866,0.98,2025-01-01T10:03:31
AAY006,34.048573,-118.365121,415.2,135.866,0.979,2025-01-01T10:03:41
AAY006,34.053862,-118.362875,429.7,135.866,0.978,2025-01-01T10:03:51
AAY006,34.059151,-118.360629,444.2,135.866,0.977,2025-01-01T10:04:01
AAY006,34.06444,-118.358383,458.8,135.866,0.976,2025-01-01T10:04:11
AAY006,34.069729,-118.356137,473.3,135.866,0.975,2025-01-01T10:04:21
AAY006,34.075018,-118.353891,487.8,135.866,0.974,2025-01-01T10:04:31
AAY006,34.080307,-118.351645,502.3,135.866,0.973,2025-01-01T10:04:41
AAY006,34.085596,-118.349399,516.8,135.866,0.972,2025-01-01T10:04:51
AAY006,34.090885,-118.347153,531.3,135.866,0.971,2025-01-01T10:05:01
AAY006,34.096175,-118.344907,545.8,135.866,0.97,2025-01-01T10:05:11
AAY006,34.101464,-118.342661,560.3,135.866,0.969,2025-01-01T10:05:21
AAY006,34.106753,-118.340415,574.8,135.866,0.968,2025-01-01T10:05:31
