tail_number,lat,lon,alt,speed,heading,fuel,timestamp
AAX001,34.116575,-118.336243,601.8,49.188,19.4,0.907,2025-01-01T12:06:42
AAX001,34.118464,-118.335441,607.0,49.188,19.4,0.906,2025-01-01T12:06:52
AAX001,34.120353,-118.334639,612.2,49.188,19.4,0.905,2025-01-01T12:07:02
AAX001,34.122242,-118.333837,617.3,49.188,19.4,0.904,2025-01-01T12:07:12
AAX001,34.124131,-118.333035,622.5,49.188,19.4,0.903,2025-01-01T12:07:22
AAX001,34.12602,-118.332233,627.7,49.188,19.4,0.902,2025-01-01T12:07:32
AAX001,34.127909,-118.33143,632.9,49.188,19.4,0.901,2025-01-01T12:07:42
AAX001,34.129798,-118.330628,638.1,49.188,19.4,0.9,2025-01-01T12:07:52
AAX001,34.131687,-118.329826,643.3,49.188,19.4,0.899,2025-01-01T12:08:02
AAX001,34.133576,-118.329024,648.4,49.188,19.4,0.898,2025-01-01T12:08:12
AAX001,34.135465,-118.328222,653.6,49.188,19.4,0.897,2025-01-01T12:08:22
AAX001,34.137354,-118.32742,658.8,49.188,19.4,0.896,2025-01-01T12:08:32
AAX001,34.139243,-118.326617,664.0,49.188,19.4,0.895,2025-01-01T12:08:42
AAX001,34.141132,-118.325815,669.2,49.188,19.4,0.894,2025-01-01T12:08:52
AAX001,34.143021,-118.325013,674.3,49.188,19.4,0.893,2025-01-01T12:09:02
AAX001,34.14491,-118.324211,679.5,49.188,19.4,0.892,2025-01-01T12:09:12
AAX001,34.146799,-118.323409,684.7,49.188,19.4,0.891,2025-01-01T12:09:22
AAX001,34.148688,-118.322607,689.9,49.188,19.4,0.89,2025-01-01T12:09:32
AAX001,34.150577,-118.321805,695.1,49.188,19.4,0.889,2025-01-01T12:09:42
AAX001,34.152466,-118.321002,700.3,49.188,19.4,0.888,2025-01-01T12:09:52
AAX001,34.154355,-118.3202,705.4,49.188,19.4,0.887,2025-01-01T12:10:02
AAX001,34.156244,-118.319398,710.6,49.188,19.4,0.886,2025-01-01T12:10:12
AAX001,34.158132,-118.318596,715.8,49.188,19.4,0.885,2025-01-01T12:10:22
AAX001,34.160021,-118.317794,721.0,49.188,19.4,0.884,2025-01-01T12:10:32
AAX001,34.16191,-118.316992,726.2,49.188,19.4,0.883,2025-01-01T12:10:42
AAX001,34.163799,-118.316189,731.4,49.188,19.4,0.882,2025-01-01T12:10:52
AAX001,34.165688,-118.315387,736.5,49.188,19.4,0.881,2025-01-01T12:11:02
AAX001,34.167577,-118.314585,741.7,49.188,19.4,0.88,2025-01-01T12:11:12
AAX001,34.169466,-118.313783,746.9,49.188,19.4,0.879,2025-01-01T12:11:22
AAX001,34.171355,-118.312981,752.1,49.188,19.4,0.878,2025-01-01T12:11:32
AAX001,34.173244,-118.312179,757.3,49.188,19.4,0.877,2025-01-01T12:11:42
AAX001,34.175133,-118.311376,762.5,49.188,19.4,0.876,2025-01-01T12:11:52
AAX001,34.177022,-118.310574,767.6,49.188,19.4,0.875,2025-01-01T12:12:02
AAX001,34.178911,-118.309772,772.8,49.188,19.4,0.874,2025-01-01T12:12:12
AAX001,34.1808,-118.30897,778.0,49.188,19.4,0.873,2025-01-01T12:12:22
AAX006,33.942791,-118.410042,125.0,46.874,19.4,0.999,2025-01-01T10:51:43
AAX006,33.944594,-118.409276,129.9,46.874,19.4,0.998,2025-01-01T10:51:53
AAX006,33.946397,-118.408511,134.9,46.874,19.4,0.997,2025-01-01T10:52:03
AAX006,33.9482,-118.407745,139.8,46.874,19.4,0.996,2025-01-01T10:52:13
AAX006,33.950003,-118.406979,144.8,46.874,19.4,0.995,2025-01-01T10:52:23
AAX006,33.951806,-118.406214,149.7,46.874,19.4,0.994,2025-01-01T10:52:33
AAX006,33.95361,-118.405448,154.7,46.874,19.4,0.993,2025-01-01T10:52:43
AAX006,33.955413,-118.404682,159.6,46.874,19.4,0.992,2025-01-01T10:52:53
AAX006,33.957216,-118.403916,164.6,46.874,19.4,0.991,2025-01-01T10:53:03
AAX006,33.959019,-118.403151,169.5,46.874,19.4,0.99,2025-01-01T10:53:13
AAX006,33.960822,-118.402385,174.5,46.874,19.4,0.989,2025-01-01T10:53:23
AAX006,33.962625,-118.401619,179.4,46.874,19.4,0.988,2025-01-01T10:53:33
AAX006,33.964428,-118.400854,184.4,46.874,19.4,0.987,2025-01-01T10:53:43
AAX006,33.966231,-118.400088,189.3,46.874,19.4,0.986,2025-01-01T10:53:53
AAX006,33.968034,-118.399322,194.3,46.874,19.4,0.985,2025-01-01T10:54:03
AAX006,33.969837,-118.398557,199.2,46.874,19.4,0.984,2025-01-01T10:54:13
AAX006,33.971641,-118.397791,204.2,46.874,19.4,0.983,2025-01-01T10:54:23
AAX006,33.973444,-118.397025,209.1,46.874,19.4,0.982,2025-01-01T10:54:33
AAX006,33.975247,-118.396259,214.0,46.874,19.4,0.981,2025-01-01T10:54:43
AAX006,33.97705,-118.395494,219.0,46.874,19.4,0.98,2025-01-01T10:54:53
AAX006,33.978853,-118.394728,223.9,46.874,19.4,0.979,2025-01-01T10:55:03
AAX006,33.980656,-118.393962,228.9,46.874,19.4,0.978,2025-01-01T10:55:13
AAX006,33.982459,-118.393197,233.8,46.874,19.4,0.977,2025-01-01T10:55:23
AAX006,33.984262,-118.392431,238.8,46.874,19.4,0.976,2025-01-01T10:55:33
AAX006,33.986065,-118.391665,243.7,46.874,19.4,0.975,2025-01-01T10:55:43
AAX006,33.987868,-118.3909,248.7,46.874,19.4,0.974,2025-01-01T10:55:53
AAX006,33.989672,-118.390134,253.6,46.874,19.4,0.973,2025-01-01T10:56:03
AAX006,33.991475,-118.389368,258.6,46.874,19.4,0.972,2025-01-01T10:56:13
AAX006,33.993278,-118.388602,263.5,46.874,19.4,0.971,2025-01-01T10:56:23
AAX006,33.995081,-118.387837,268.5,46.874,19.4,0.97,2025-01-01T10:56:33
AAX006,33.996884,-118.387071,273.4,46.874,19.4,0.969,2025-01-01T10:56:43
AAX006,33.998687,-118.386305,278.4,46.874,19.4,0.968,2025-01-01T10:56:53
AAX006,34.00049,-118.38554,283.3,46.874,19.4,0.967,2025-01-01T10:57:03
AAX006,34.002293,-118.384774,288.2,46.874,19.4,0.966,2025-01-01T10:57:13
AAX006,34.004096,-118.384008,293.2,46.874,19.4,0.965,2025-01-01T10:57:23
AAX006,34.005899,-118.383243,298.1,46.874,19.4,0.964,2025-01-01T10:57:33
AAX006,34.007703,-118.382477,303.1,46.874,19.4,0.963,2025-01-01T10:57:43
AAX006,34.009506,-118.381711,308.0,46.874,19.4,0.962,2025-01-01T10:57:53
AAX006,34.011309,-118.380946,313.0,46.874,19.4,0.961,2025-01-01T10:58:03
AAX006,34.013112,-118.38018,317.9,46.874,19.4,0.96,2025-01-01T10:58:13
AAX006,34.014915,-118.379414,322.9,46.874,19.4,0.959,2025-01-01T10:58:23
AAX006,34.016718,-118.378648,327.8,46.874,19.4,0.958,2025-01-01T10:58:33
AAX006,34.018521,-118.377883,332.8,46.874,19.4,0.957,2025-01-01T10:58:43
AAX006,34.020324,-118.377117,337.7,46.874,19.4,0.956,2025-01-01T10:58:53
AAX006,34.022127,-118.376351,342.7,46.874,19.4,0.955,2025-01-01T10:59:03
AAX006,34.02393,-118.375586,347.6,46.874,19.4,0.954,2025-01-01T10:59:13
AAX006,34.025734,-118.37482,352.6,46.874,19.4,0.953,2025-01-01T10:59:23
AAX006,34.027537,-118.374054,357.5,46.874,19.4,0.952,2025-01-01T10:59:33
AAX006,34.02934,-118.373289,362.5,46.874,19.4,0.951,2025-01-01T10:59:43
AAX006,34.031143,-118.372523,367.4,46.874,19.4,0.95,2025-01-01T10:59:53
AAX006,34.032946,-118.371757,372.3,46.874,19.4,0.949,2025-01-01T11:00:03
AAX006,34.034749,-118.370991,377.3,46.874,19.4,0.948,2025-01-01T11:00:13
AAX006,34.036552,-118.370226,382.2,46.874,19.4,0.947,2025-01-01T11:00:23
AAX006,34.038355,-118.36946,387.2,46.874,19.4,0.946,2025-01-01T11:00:33
AAX006,34.040158,-118.368694,392.1,46.874,19.4,0.945,2025-01-01T11:00:43
AAX006,34.041961,-118.367929,397.1,46.874,19.4,0.944,2025-01-01T11:00:53
AAX006,34.043765,-118.367163,402.0,46.874,19.4,0.943,2025-01-01T11:01:03
AAX006,34.045568,-118.366397,407.0,46.874,19.4,0.942,2025-01-01T11:01:13
AAX006,34.047371,-118.365632,411.9,46.874,19.4,0.941,2025-01-01T11:01:23
AAX006,34.049174,-118.364866,416.9,46.874,19.4,0.94,2025-01-01T11:01:33
AAX006,34.050977,-118.3641,421.8,46.874,19.4,0.939,2025-01-01T11:01:43
AAX006,34.05278,-118.363334,426.8,46.874,19.4,0.938,2025-01-01T11:01:53
AAX006,34.054583,-118.362569,431.7,46.874,19.4,0.937,2025-01-01T11:02:03
AAX006,34.056386,-118.361803,436.7,46.874,19.4,0.936,2025-01-01T11:02:13
AAX006,34.058189,-118.361037,441.6,46.874,19.4,0.935,2025-01-01T11:02:23
AAX006,34.059992,-118.360272,446.6,46.874,19.4,0.934,2025-01-01T11:02:33
AAX006,34.061796,-118.359506,451.5,46.874,19.4,0.933,2025-01-01T11:02:43
AAX006,34.063599,-118.35874,456.4,46.874,19.4,0.932,2025-01-01T11:02:53
AAX006,34.065402,-118.357975,461.4,46.874,19.4,0.931,2025-01-01T11:03:03
AAX006,34.067205,-118.357209,466.3,46.874,19.4,0.93,2025-01-01T11:03:13
AAX006,34.069008,-118.356443,471.3,46.874,19.4,0.929,2025-01-01T11:03:23
AAX006,34.070811,-118.355678,476.2,46.874,19.4,0.928,2025-01-01T11:03:33
AAX006,34.072614,-118.354912,481.2,46.874,19.4,0.927,2025-01-01T11:03:43
AAX006,34.074417,-118.354146,486.1,46.874,19.4,0.926,2025-01-01T11:03:53
AAX006,34.07622,-118.35338,491.1,46.874,19.4,0.925,2025-01-01T11:04:03
AAX006,34.078023,-118.352615,496.0,46.874,19.4,0.924,2025-01-01T11:04:13
AAX006,34.079826,-118.351849,501.0,46.874,19.4,0.923,2025-01-01T11:04:23
AAX006,34.08163,-118.351083,505.9,46.874,19.4,0.922,2025-01-01T11:04:33
AAX006,34.083433,-118.350318,510.9,46.874,19.4,0.921,2025-01-01T11:04:43
AAX006,34.085236,-118.349552,515.8,46.874,19.4,0.92,2025-01-01T11:04:53
AAX006,34.087039,-118.348786,520.8,46.874,19.4,0.919,2025-01-01T11:05:03
AAX006,34.088842,-118.348021,525.7,46.874,19.4,0.918,2025-01-01T11:05:13
AAX006,34.090645,-118.347255,530.7,46.874,19.4,0.917,2025-01-01T11:05:23
AAX006,34.092448,-118.346489,535.6,46.874,19.4,0.916,2025-01-01T11:05:33
AAX006,34.094251,-118.345723,540.5,46.874,19.4,0.915,2025-01-01T11:05:43
AAX006,34.096054,-118.344958,545.5,46.874,19.4,0.914,2025-01-01T11:05:53
AAX006,34.097857,-118.344192,550.4,46.874,19.4,0.913,2025-01-01T11:06:03
AAX006,34.099661,-118.343426,555.4,46.874,19.4,0.912,2025-01-01T11:06:13
AAX006,34.101464,-118.342661,560.3,46.874,19.4,0.911,2025-01-01T11:06:23
AAX006,34.103267,-118.341895,565.3,46.874,19.4,0.91,2025-01-01T11:06:33
AAX006,34.10507,-118.341129,570.2,46.874,19.4,0.909,2025-01-01T11:06:43
AAX006,34.106873,-118.340364,575.2,46.874,19.4,0.908,2025-01-01T11:06:53
AAX006,34.108676,-118.339598,580.1,46.874,19.4,0.907,2025-01-01T11:07:03
AAX006,34.110479,-118.338832,585.1,46.874,19.4,0.906,2025-01-01T11:07:13
AAX006,34.112282,-118.338066,590.0,46.874,19.4,0.905,2025-01-01T11:07:23
AAX006,34.114085,-118.337301,595.0,46.874,19.4,0.904,2025-01-01T11:07:33
AAX006,34.115888,-118.336535,599.9,46.874,19.4,0.903,2025-01-01T11:07:43
AAX006,34.117692,-118.335769,604.9,46.874,19.4,0.902,2025-01-01T11:07:53
AAX006,34.119495,-118.335004,609.8,46.874,19.4,0.901,2025-01-01T11:08:03
AAX006,34.121298,-118.334238,614.8,46.874,19.4,0.9,2025-01-01T11:08:13
AAX006,34.123101,-118.333472,619.7,46.874,19.4,0.899,2025-01-01T11:08:23
AAX006,34.124904,-118.332707,624.6,46.874,19.4,0.898,2025-01-01T11:08:33
AAX006,34.126707,-118.331941,629.6,46.874,19.4,0.897,2025-01-01T11:08:43
AAX006,34.12851,-118.331175,634.5,46.874,19.4,0.896,2025-01-01T11:08:53
AAX006,34.130313,-118.33041,639.5,46.874,19.4,0.895,2025-01-01T11:09:03
AAX006,34.132116,-118.329644,644.4,46.874,19.4,0.894,2025-01-01T11:09:13
AAX006,34.133919,-118.328878,649.4,46.874,19.4,0.893,2025-01-01T11:09:23
AAX006,34.135723,-118.328112,654.3,46.874,19.4,0.892,2025-01-01T11:09:33
AAX006,34.137526,-118.327347,659.3,46.874,19.4,0.891,2025-01-01T11:09:43
AAX006,34.139329,-118.326581,664.2,46.874,19.4,0.89,2025-01-01T11:09:53
AAX006,34.141132,-118.325815,669.2,46.874,19.4,0.889,2025-01-01T11:10:03
AAX006,34.142935,-118.32505,674.1,46.874,19.4,0.888,2025-01-01T11:10:13
AAX006,34.144738,-118.324284,679.1,46.874,19.4,0.887,2025-01-01T11:10:23
AAX006,34.146541,-118.323518,684.0,46.874,19.4,0.886,2025-01-01T11:10:33
AAX006,34.148344,-118.322753,689.0,46.874,19.4,0.885,2025-01-01T11:10:43
AAX006,34.150147,-118.321987,693.9,46.874,19.4,0.884,2025-01-01T11:10:53
AAX006,34.15195,-118.321221,698.8,46.874,19.4,0.883,2025-01-01T11:11:03
AAX006,34.153754,-118.320455,703.8,46.874,19.4,0.882,2025-01-01T11:11:13
AAX006,34.155557,-118.31969,708.7,46.874,19.4,0.881,2025-01-01T11:11:23
AAX006,34.15736,-118.318924,713.7,46.874,19.4,0.88,2025-01-01T11:11:33
AAX006,34.159163,-118.318158,718.6,46.874,19.4,0.879,2025-01-01T11:11:43
AAX006,34.160966,-118.317393,723.6,46.874,19.4,0.878,2025-01-01T11:11:53
AAX006,34.162769,-118.316627,728.5,46.874,19.4,0.877,2025-01-01T11:12:03
AAX006,34.164572,-118.315861,733.5,46.874,19.4,0.876,2025-01-01T11:12:13
AAX006,34.166375,-118.315096,738.4,46.874,19.4,0.875,2025-01-01T11:12:23
AAX006,34.168178,-118.31433,743.4,46.874,19.4,0.874,2025-01-01T11:12:33
AAX006,34.169981,-118.313564,748.3,46.874,19.4,0.873,2025-01-01T11:12:43
AAX006,34.171785,-118.312798,753.3,46.874,19.4,0.872,2025-01-01T11:12:53
AAX006,34.173588,-118.312033,758.2,46.874,19.4,0.871,2025-01-01T11:13:03
AAX006,34.175391,-118.311267,763.2,46.874,19.4,0.87,2025-01-01T11:13:13
AAX006,34.177194,-118.310501,768.1,46.874,19.4,0.869,2025-01-01T11:13:23
AAX006,34.178997,-118.309736,773.1,46.874,19.4,0.868,2025-01-01T11:13:33
AAX006,34.1808,-118.30897,778.0,46.874,19.4,0.867,2025-01-01T11:13:43
AAY001,33.942791,-118.410042,125.0,135.862,19.4,0.999,2025-01-01T11:52:47
AAY001,33.94808,-118.407796,139.5,135.862,19.4,0.998,2025-01-01T11:52:57
AAY001,33.953369,-118.40555,154.0,135.862,19.4,0.997,2025-01-01T11:53:07
AAY001,33.958658,-118.403304,168.5,135.862,19.4,0.996,2025-01-01T11:53:17
AAY001,33.963947,-118.401058,183.0,135.862,19.4,0.995,2025-01-01T11:53:27
AAY001,33.969236,-118.398812,197.6,135.862,19.4,0.994,2025-01-01T11:53:37
AAY001,33.974526,-118.396566,212.1,135.862,19.4,0.993,2025-01-01T11:53:47
AAY001,33.979815,-118.39432,226.6,135.862,19.4,0.992,2025-01-01T11:53:57
AAY001,33.985104,-118.392074,241.1,135.862,19.4,0.991,2025-01-01T11:54:07
AAY001,33.990393,-118.389828,255.6,135.862,19.4,0.99,2025-01-01T11:54:17
AAY001,33.995682,-118.387582,270.1,135.862,19.4,0.989,2025-01-01T11:54:27
AAY001,34.000971,-118.385336,284.6,135.862,19.4,0.988,2025-01-01T11:54:37
AAY001,34.00626,-118.383089,299.1,135.862,19.4,0.987,2025-01-01T11:54:47
AAY001,34.011549,-118.380843,313.6,135.862,19.4,0.986,2025-01-01T11:54:57
AAY001,34.016838,-118.378597,328.2,135.862,19.4,0.985,2025-01-01T11:55:07
AAY001,34.022127,-118.376351,342.7,135.862,19.4,0.984,2025-01-01T11:55:17
AAY001,34.027416,-118.374105,357.2,135.862,19.4,0.983,2025-01-01T11:55:27
AAY001,34.032706,-118.371859,371.7,135.862,19.4,0.982,2025-01-01T11:55:37
AAY001,34.037995,-118.369613,386.2,135.862,19.4,0.981,2025-01-01T11:55:47
AAY001,34.043284,-118.367367,400.7,135.862,19.4,0.98,2025-01-01T11:55:57
AAY001,34.048573,-118.365121,415.2,135.862,19.4,0.979,2025-01-01T11:56:07
AAY001,34.053862,-118.362875,429.7,135.862,19.4,0.978,2025-01-01T11:56:17
AAY001,34.059151,-118.360629,444.2,135.862,19.4,0.977,2025-01-01T11:56:27
AAY001,34.06444,-118.358383,458.8,135.862,19.4,0.976,2025-01-01T11:56:37
AAY001,34.069729,-118.356137,473.3,135.862,19.4,0.975,2025-01-01T11:56:47
AAY001,34.075018,-118.353891,487.8,135.862,19.4,0.974,2025-01-01T11:56:57
AAY001,34.080307,-118.351645,502.3,135.862,19.4,0.973,2025-01-01T11:57:07
AAY001,34.085596,-118.349399,516.8,135.862,19.4,0.972,2025-01-01T11:57:17
AAY001,34.090885,-118.347153,531.3,135.862,19.4,0.971,2025-01-01T11:57:27
AAY001,34.096175,-118.344907,545.8,135.862,19.4,0.97,2025-01-01T11:57:37
AAY001,34.101464,-118.342661,560.3,135.862,19.4,0.969,2025-01-01T11:57:47
AAY001,34.106753,-118.340415,574.8,135.862,19.4,0.968,2025-01-01T11:57:57
AAY001,34.112042,-118.338169,589.4,135.862,19.4,0.967,2025-01-01T11:58:07
AAY001,34.117331,-118.335923,603.9,135.862,19.4,0.966,2025-01-01T11:58:17
AAY001,34.12262,-118.333676,618.4,135.862,19.4,0.965,2025-01-01T11:58:27
AAY001,34.127909,-118.33143,632.9,135.862,19.4,0.964,2025-01-01T11:58:37
AAY001,34.133198,-118.329184,647.4,135.862,19.4,0.963,2025-01-01T11:58:47
AAY001,34.138487,-118.326938,661.9,135.862,19.4,0.962,2025-01-01T11:58:57
AAY001,34.143776,-118.324692,676.4,135.862,19.4,0.961,2025-01-01T11:59:07
AAY001,34.149065,-118.322446,690.9,135.862,19.4,0.96,2025-01-01T11:59:17
AAY001,34.154355,-118.3202,705.4,135.862,19.4,0.959,2025-01-01T11:59:27
AAY001,34.159644,-118.317954,720.0,135.862,19.4,0.958,2025-01-01T11:59:37
AAY001,34.164933,-118.315708,734.5,135.862,19.4,0.957,2025-01-01T11:59:47
AAY001,34.170222,-118.313462,749.0,135.862,19.4,0.956,2025-01-01T11:59:57
AAY001,34.175511,-118.311216,763.5,135.862,19.4,0.955,2025-01-01T12:00:07
AAY001,34.1808,-118.30897,778.0,135.862,19.4,0.954,2025-01-01T12:00:17
AAY006,33.942791,-118.410042,125.0,140.568,19.4,0.999,2025-01-01T11:47:56
AAY006,33.948326,-118.407691,140.2,140.568,19.4,0.998,2025-01-01T11:48:06
AAY006,33.953861,-118.405341,155.4,140.568,19.4,0.997,2025-01-01T11:48:16
